,Brent_Crude,WTI_Crude,Natural_Gas,USD_Index,ExxonMobil,Halliburton,United_Airlines,Lockheed_Martin
Brent_Crude,1.0,0.8955124865113749,0.35096113745759167,0.5120734168765375,0.658543001095257,0.3608662860642681,-0.5714596777991551,0.025163286601345546
WTI_Crude,0.8955124865113749,1.0,0.35277379704105816,0.5227748066625234,0.620479537743549,0.3036175027651732,-0.6419544963465733,0.08338941095435728
Natural_Gas,0.35096113745759167,0.35277379704105816,1.0,0.14754989891100853,0.3141431953372661,0.119605659584059,-0.2664971903653036,0.2610988315253978
USD_Index,0.5120734168765375,0.5227748066625234,0.14754989891100853,1.0,0.40034835768894717,-0.06424306271156227,-0.477561844531334,-0.04303223266077263
ExxonMobil,0.658543001095257,0.620479537743549,0.3141431953372661,0.40034835768894717,1.0,0.532672751400952,-0.637313647118468,-0.10007036134972003
Halliburton,0.3608662860642681,0.3036175027651732,0.119605659584059,-0.06424306271156227,0.532672751400952,1.0,-0.29715972095187887,-0.10511708849337402
United_Airlines,-0.5714596777991551,-0.6419544963465733,-0.2664971903653036,-0.477561844531334,-0.637313647118468,-0.29715972095187887,1.0,0.14240955745330902
Lockheed_Martin,0.025163286601345546,0.08338941095435728,0.2610988315253978,-0.04303223266077263,-0.10007036134972003,-0.10511708849337402,0.14240955745330902,1.0
