,Brent_Crude,WTI_Crude,Natural_Gas,USD_Index,ExxonMobil,Halliburton,United_Airlines,Lockheed_Martin
Brent_Crude,1.0,0.9860493741963404,0.0009831236574237966,-0.27482741214711676,0.7235565596351574,0.48865325198809306,-0.28595078700033233,0.19731289108730996
WTI_Crude,0.9860493741963404,1.0,-0.05076217697635443,-0.24678303705916593,0.7540014796020844,0.5029681262460438,-0.2959569107908789,0.22762074945311445
Natural_Gas,0.0009831236574237966,-0.05076217697635443,1.0,-0.17724222581986557,-0.02596266957603978,0.04522979463930562,-0.14478410240297393,-0.36248395868840877
USD_Index,-0.27482741214711676,-0.24678303705916593,-0.17724222581986557,1.0,-0.15186736285956304,0.01889069389960455,0.25691235583909644,0.0423136376797731
ExxonMobil,0.7235565596351574,0.7540014796020844,-0.02596266957603978,-0.15186736285956304,1.0,0.7104503753771401,-0.1801550779521394,0.24548758726061187
Halliburton,0.48865325198809306,0.5029681262460438,0.04522979463930562,0.01889069389960455,0.7104503753771401,1.0,0.12876852781607323,0.294144542697963
United_Airlines,-0.28595078700033233,-0.2959569107908789,-0.14478410240297393,0.25691235583909644,-0.1801550779521394,0.12876852781607323,1.0,-0.0906565809057139
Lockheed_Martin,0.19731289108730996,0.22762074945311445,-0.36248395868840877,0.0423136376797731,0.24548758726061187,0.294144542697963,-0.0906565809057139,1.0
